T,F,q
0.005479452054794521,6709.8,0.038074659254411
0.0136986301369863,6710.1,0.011966053985791866
0.01643835616438356,6710.85,0.003172640047005899
0.019178082191780823,6711.7,-0.00388461935699601
0.021917808219178082,6712.2,-0.006797830666504244
0.024657534246575342,6715.05,-0.02325874956424792
0.03287671232876712,6714.5,-0.014952665711499367
0.03561643835616438,6715.5,-0.01798368524780305
0.038356164383561646,6715.85,-0.0180578977070595
0.0410958904109589,6716.85,-0.020477037462132943
0.043835616438356165,6720.45,-0.03142066065738834
0.052054794520547946,6719.85,-0.02474431643186706
